Model,Category,License,Accuracy (%),Avg Output Tokens,Correct,Total,OckScore
gpt-5.5-medium,OpenAI,Commercial,86,4692,172,200,82.15
opus-4.8-xhigh,Claude,Commercial,91.5,16876,183,200,81.61
gpt-5.5-high,OpenAI,Commercial,88.5,10018,177,200,81.56
gpt-5.5-xhigh,OpenAI,Commercial,90,13271,180,200,81.55
opus-4.8-medium,Claude,Commercial,86,7712,172,200,80.28
opus-4.8-high,Claude,Commercial,86,8870,172,200,79.65
gpt-5.4-medium,OpenAI,Commercial,82,3177,164,200,79.24
gpt-5.4-high,OpenAI,Commercial,80.5,3267,161,200,77.67
opus-4.7-xhigh,Claude,Commercial,83,7481,166,200,77.41
gpt-5.4-low,OpenAI,Commercial,78,3056,156,200,75.33
opus-4.8-max,Claude,Commercial,90,36544,180,200,74.62
gpt-5.5-low,OpenAI,Commercial,75,1603,150,200,73.51
gemini-3.1-pro-preview,Gemini,Commercial,76,3263,152,200,73.18
opus-4.6,Claude,Commercial,84.5,28582,169,200,71.00
opus-4.8-low,Claude,Commercial,73.5,3652,147,200,70.39
deepseek-v4-pro-high,DeepSeek,Open-Source,84,43652,168,200,67.20
glm-5.2-max-t1,GLM,Open-Source,83.5,41234,167,200,67.16
glm-5.2-high-t1,GLM,Open-Source,78.5,38251,157,200,62.76
deepseek-v4-pro-max,DeepSeek,Open-Source,84,81408,168,200,61.87
deepseek-v4-flash-high,DeepSeek,Open-Source,78,40735,156,200,61.76
deepseek-v4-flash-max,DeepSeek,Open-Source,83,80870,166,200,60.93
kimi-k2.6,Kimi,Open-Source,75,42243,150,200,58.47
kimi-k2.5,Kimi,Open-Source,72.5,34510,145,200,57.57
qwen3.5-397b-a17b,Qwen,Open-Source,67.5,26178,135,200,54.64
minimax-m2.7,MiniMax,Open-Source,66.875,35538,535,800,51.72
mimo-v2.5-pro-thinking,MiMo,Open-Source,65,34882,130,200,49.99
sonnet-4.6,Claude,Commercial,58.5,16201,117,200,48.87
glm-5.2-high,GLM,Open-Source,56,18323,112,200,45.59
glm-5.1,GLM,Open-Source,63.5,59641,127,200,44.09
gemini-3-flash-preview,Gemini,Commercial,44.5,1615,89,200,43.00
opus-4.5,Claude,Commercial,44,1068,88,200,42.99
glm-5,GLM,Open-Source,59.5,45210,119,200,42.41
gemini-2.5-pro,Gemini,Commercial,53.5,20979,107,200,42.19
qwen3.5-122b-a10b,Qwen,Open-Source,53.5,23554,107,200,41.39
glm-5.2-max,GLM,Open-Source,53.5,35245,107,200,38.40
gemma-4-31b-it,Gemma,Open-Source,41.5,3776,83,200,38.30
qwen3.6-27b,Qwen,Open-Source,52,55328,104,200,33.23
qwen3.5-35b-a3b,Qwen,Open-Source,46,43364,92,200,29.25
qwen3.6-35b-a3b,Qwen,Open-Source,47.5,57655,95,200,28.38
gemini-2.5-flash,Gemini,Commercial,43.5,35988,87,200,28.24
sonnet-4.5,Claude,Commercial,29,1088,58,200,27.97
glm-5.2-off-t1,GLM,Open-Source,28.5,2090,57,200,26.60
qwen-235b,Qwen,Open-Source,31.5,6577,63,200,26.45
gpt-5.5,OpenAI,Commercial,26,260,52,200,25.74
minimax-m2.5,MiniMax,Open-Source,44.5,57346,89,200,25.43
gemini-3.1-flash-lite,Gemini,Commercial,26.5,1981,53,200,24.69
deepseek-v4-pro-none,DeepSeek,Open-Source,25,1460,50,200,23.64
mimo-v2.5-thinking,MiMo,Open-Source,35.5,22859,71,200,23.60
gpt-5.4,OpenAI,Commercial,23.5,689,47,200,22.83
glm-5.2-off,GLM,Open-Source,23.5,1595,47,200,22.02
deepseek-v4-flash-none,DeepSeek,Open-Source,20.5,3387,41,200,17.58
qwen3.5-9b,Qwen,Open-Source,21.5,116222,43,200,-3.85
